Precinct_name,candidate_name,Contest_title,Sum of total_votes
236,Kendall Pace,"AT LARGE POSITION 9, AISD",357
236,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",485
236,Mike Martinez,"MAYOR, CITY OF AUSTIN",280
236,Steve Adler,"MAYOR, CITY OF AUSTIN",474
237,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",289
237,Hillary Procknow,"AT LARGE POSITION 9, AISD",108
237,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",203
237,Kendall Pace,"AT LARGE POSITION 9, AISD",399
237,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",371
237,Mike Martinez,"MAYOR, CITY OF AUSTIN",113
237,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",398
237,Steve Adler,"MAYOR, CITY OF AUSTIN",665
238,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",271
238,Hillary Procknow,"AT LARGE POSITION 9, AISD",144
238,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",211
238,Kendall Pace,"AT LARGE POSITION 9, AISD",342
238,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",382
238,Mike Martinez,"MAYOR, CITY OF AUSTIN",188
238,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",355
238,Steve Adler,"MAYOR, CITY OF AUSTIN",551
239,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",237
239,Hillary Procknow,"AT LARGE POSITION 9, AISD",156
239,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",275
239,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",237
239,Kendall Pace,"AT LARGE POSITION 9, AISD",351
239,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",436
239,Mike Martinez,"MAYOR, CITY OF AUSTIN",230
239,Steve Adler,"MAYOR, CITY OF AUSTIN",491
240,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",108
240,Hillary Procknow,"AT LARGE POSITION 9, AISD",67
240,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",97
240,Kendall Pace,"AT LARGE POSITION 9, AISD",140
240,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",179
240,Mike Martinez,"MAYOR, CITY OF AUSTIN",98
240,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",139
240,Steve Adler,"MAYOR, CITY OF AUSTIN",224
241,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",122
241,Hillary Procknow,"AT LARGE POSITION 9, AISD",95
241,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",100
241,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",132
241,Kendall Pace,"AT LARGE POSITION 9, AISD",169
241,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",258
241,Mike Martinez,"MAYOR, CITY OF AUSTIN",148
241,Steve Adler,"MAYOR, CITY OF AUSTIN",215
242,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",381
242,Hillary Procknow,"AT LARGE POSITION 9, AISD",273
242,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",334
242,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",370
242,Kendall Pace,"AT LARGE POSITION 9, AISD",471
242,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",720
242,Mike Martinez,"MAYOR, CITY OF AUSTIN",486
242,Steve Adler,"MAYOR, CITY OF AUSTIN",587
243,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",166
243,Hillary Procknow,"AT LARGE POSITION 9, AISD",101
243,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",157
243,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",177
243,Kendall Pace,"AT LARGE POSITION 9, AISD",237
243,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",312
243,Mike Martinez,"MAYOR, CITY OF AUSTIN",154
243,Steve Adler,"MAYOR, CITY OF AUSTIN",332
244,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",48
244,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",97
244,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",94
244,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",75
244,Mike Martinez,"MAYOR, CITY OF AUSTIN",34
244,Steve Adler,"MAYOR, CITY OF AUSTIN",99
245,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",133
245,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",66
245,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",61
245,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",71
245,Mike Martinez,"MAYOR, CITY OF AUSTIN",27
245,Steve Adler,"MAYOR, CITY OF AUSTIN",174
246,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",213
246,Hillary Procknow,"AT LARGE POSITION 9, AISD",126
246,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",201
246,Kendall Pace,"AT LARGE POSITION 9, AISD",283
246,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",282
246,Mike Martinez,"MAYOR, CITY OF AUSTIN",134
246,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",304
246,Steve Adler,"MAYOR, CITY OF AUSTIN",458
247,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",121
247,Hillary Procknow,"AT LARGE POSITION 9, AISD",47
247,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",82
247,Kendall Pace,"AT LARGE POSITION 9, AISD",181
247,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",95
247,Mike Martinez,"MAYOR, CITY OF AUSTIN",35
247,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",203
247,Steve Adler,"MAYOR, CITY OF AUSTIN",266
248,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",173
248,Hillary Procknow,"AT LARGE POSITION 9, AISD",117
248,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",124
248,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",142
248,Kendall Pace,"AT LARGE POSITION 9, AISD",196
248,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",279
248,Mike Martinez,"MAYOR, CITY OF AUSTIN",162
248,Steve Adler,"MAYOR, CITY OF AUSTIN",254
249,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",262
249,Hillary Procknow,"AT LARGE POSITION 9, AISD",170
249,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",255
249,Kendall Pace,"AT LARGE POSITION 9, AISD",348
249,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",386
249,Mike Martinez,"MAYOR, CITY OF AUSTIN",185
249,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",414
249,Steve Adler,"MAYOR, CITY OF AUSTIN",614
250,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",320
250,Hillary Procknow,"AT LARGE POSITION 9, AISD",165
250,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",309
250,Kendall Pace,"AT LARGE POSITION 9, AISD",439
250,Mike Martinez,"MAYOR, CITY OF AUSTIN",281
250,Steve Adler,"MAYOR, CITY OF AUSTIN",635
251,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",324
251,Hillary Procknow,"AT LARGE POSITION 9, AISD",119
251,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",216
251,Kendall Pace,"AT LARGE POSITION 9, AISD",466
251,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",446
251,Mike Martinez,"MAYOR, CITY OF AUSTIN",221
251,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",335
251,Steve Adler,"MAYOR, CITY OF AUSTIN",579
252,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",211
252,Hillary Procknow,"AT LARGE POSITION 9, AISD",144
252,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",152
252,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",176
252,Kendall Pace,"AT LARGE POSITION 9, AISD",233
252,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",346
252,Mike Martinez,"MAYOR, CITY OF AUSTIN",164
252,Steve Adler,"MAYOR, CITY OF AUSTIN",357
253,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",394
253,Hillary Procknow,"AT LARGE POSITION 9, AISD",169
253,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",326
253,Kendall Pace,"AT LARGE POSITION 9, AISD",598
253,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",432
253,Mike Martinez,"MAYOR, CITY OF AUSTIN",183
253,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",698
253,Steve Adler,"MAYOR, CITY OF AUSTIN",957
254,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",257
254,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",212
254,Hillary Procknow,"AT LARGE POSITION 9, AISD",136
254,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",250
254,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",359
254,Kendall Pace,"AT LARGE POSITION 9, AISD",239
254,Mike Martinez,"MAYOR, CITY OF AUSTIN",168
254,Steve Adler,"MAYOR, CITY OF AUSTIN",462
256,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",332
256,Hillary Procknow,"AT LARGE POSITION 9, AISD",78
256,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",189
256,Kendall Pace,"AT LARGE POSITION 9, AISD",518
256,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",287
256,Mike Martinez,"MAYOR, CITY OF AUSTIN",142
256,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",500
256,Steve Adler,"MAYOR, CITY OF AUSTIN",647
258,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",175
258,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",50
258,Hillary Procknow,"AT LARGE POSITION 9, AISD",4
258,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",127
258,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",180
258,Kendall Pace,"AT LARGE POSITION 9, AISD",11
258,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",39
258,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",244
258,Mike Martinez,"MAYOR, CITY OF AUSTIN",158
258,Steve Adler,"MAYOR, CITY OF AUSTIN",312
259,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",205
259,Hillary Procknow,"AT LARGE POSITION 9, AISD",145
259,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",189
259,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",230
259,Kendall Pace,"AT LARGE POSITION 9, AISD",246
259,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",316
259,Mike Martinez,"MAYOR, CITY OF AUSTIN",169
259,Steve Adler,"MAYOR, CITY OF AUSTIN",352
260,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",73
260,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",94
260,Hillary Procknow,"AT LARGE POSITION 9, AISD",52
260,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",1
260,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",61
260,Kendall Pace,"AT LARGE POSITION 9, AISD",79
260,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",70
260,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",1
260,Mike Martinez,"MAYOR, CITY OF AUSTIN",57
260,Steve Adler,"MAYOR, CITY OF AUSTIN",111
262,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",405
262,Hillary Procknow,"AT LARGE POSITION 9, AISD",239
262,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",372
262,Kendall Pace,"AT LARGE POSITION 9, AISD",546
262,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",474
262,Mike Martinez,"MAYOR, CITY OF AUSTIN",246
262,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",648
262,Steve Adler,"MAYOR, CITY OF AUSTIN",897
263,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",150
263,Hillary Procknow,"AT LARGE POSITION 9, AISD",119
263,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",135
263,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",196
263,Kendall Pace,"AT LARGE POSITION 9, AISD",204
263,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",282
263,Mike Martinez,"MAYOR, CITY OF AUSTIN",136
263,Steve Adler,"MAYOR, CITY OF AUSTIN",307
266,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",83
266,Hillary Procknow,"AT LARGE POSITION 9, AISD",19
266,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",46
266,Kendall Pace,"AT LARGE POSITION 9, AISD",127
266,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",75
266,Mike Martinez,"MAYOR, CITY OF AUSTIN",28
266,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",127
266,Steve Adler,"MAYOR, CITY OF AUSTIN",176
267,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",134
267,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",104
267,Hillary Procknow,"AT LARGE POSITION 9, AISD",83
267,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",127
267,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",175
267,Kendall Pace,"AT LARGE POSITION 9, AISD",140
267,Mike Martinez,"MAYOR, CITY OF AUSTIN",86
267,Steve Adler,"MAYOR, CITY OF AUSTIN",230
268,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",75
268,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",58
268,Hillary Procknow,"AT LARGE POSITION 9, AISD",3
268,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",30
268,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",64
268,Kendall Pace,"AT LARGE POSITION 9, AISD",4
268,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",43
268,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",42
268,Mike Martinez,"MAYOR, CITY OF AUSTIN",57
268,Steve Adler,"MAYOR, CITY OF AUSTIN",117
273,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",271
273,Hillary Procknow,"AT LARGE POSITION 9, AISD",137
273,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",210
273,Kendall Pace,"AT LARGE POSITION 9, AISD",365
273,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",507
273,Mike Martinez,"MAYOR, CITY OF AUSTIN",220
273,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",242
273,Steve Adler,"MAYOR, CITY OF AUSTIN",544
274,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",96
274,Hillary Procknow,"AT LARGE POSITION 9, AISD",58
274,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",92
274,Kendall Pace,"AT LARGE POSITION 9, AISD",129
274,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",1
274,Mike Martinez,"MAYOR, CITY OF AUSTIN",128
274,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",2
274,Steve Adler,"MAYOR, CITY OF AUSTIN",147
275,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",148
275,Hillary Procknow,"AT LARGE POSITION 9, AISD",106
275,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",169
275,Kendall Pace,"AT LARGE POSITION 9, AISD",211
275,Mike Martinez,"MAYOR, CITY OF AUSTIN",226
275,Steve Adler,"MAYOR, CITY OF AUSTIN",236
277,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",26
277,Hillary Procknow,"AT LARGE POSITION 9, AISD",22
277,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",33
277,Kendall Pace,"AT LARGE POSITION 9, AISD",35
277,Mike Martinez,"MAYOR, CITY OF AUSTIN",47
277,Steve Adler,"MAYOR, CITY OF AUSTIN",58
301,Ed Scruggs,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",18
301,Ellen Troxclair,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",18
301,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",25
301,Hillary Procknow,"AT LARGE POSITION 9, AISD",18
301,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",30
301,Kendall Pace,"AT LARGE POSITION 9, AISD",33
301,Mike Martinez,"MAYOR, CITY OF AUSTIN",15
301,Steve Adler,"MAYOR, CITY OF AUSTIN",24
302,Ed Scruggs,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",78
302,Ellen Troxclair,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",47
302,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",80
302,Hillary Procknow,"AT LARGE POSITION 9, AISD",58
302,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",83
302,Kendall Pace,"AT LARGE POSITION 9, AISD",99
302,Mike Martinez,"MAYOR, CITY OF AUSTIN",32
302,Steve Adler,"MAYOR, CITY OF AUSTIN",98
303,Ed Scruggs,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
303,Ellen Troxclair,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",6
303,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",55
303,Hillary Procknow,"AT LARGE POSITION 9, AISD",39
303,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",37
303,Kendall Pace,"AT LARGE POSITION 9, AISD",50
303,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
303,Steve Adler,"MAYOR, CITY OF AUSTIN",6
304,Ed Scruggs,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",579
304,Ellen Troxclair,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",559
304,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",374
304,Hillary Procknow,"AT LARGE POSITION 9, AISD",236
304,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",317
304,Kendall Pace,"AT LARGE POSITION 9, AISD",516
304,Mike Martinez,"MAYOR, CITY OF AUSTIN",244
304,Steve Adler,"MAYOR, CITY OF AUSTIN",890
305,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
305,Hillary Procknow,"AT LARGE POSITION 9, AISD",3
305,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",2
305,Kendall Pace,"AT LARGE POSITION 9, AISD",2
305,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",3
305,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
305,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",2
305,Steve Adler,"MAYOR, CITY OF AUSTIN",5
307,Ed Scruggs,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",50
307,Ellen Troxclair,"DISTRICT 8, AUSTIN CITY COUNCIL, CITY OF AUSTIN",63
307,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",47
307,Hillary Procknow,"AT LARGE POSITION 9, AISD",14
307,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",25
307,Kendall Pace,"AT LARGE POSITION 9, AISD",40
307,Mike Martinez,"MAYOR, CITY OF AUSTIN",16
307,Steve Adler,"MAYOR, CITY OF AUSTIN",113
309,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",116
309,Hillary Procknow,"AT LARGE POSITION 9, AISD",93
309,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",116
309,Kendall Pace,"AT LARGE POSITION 9, AISD",130
309,Mike Martinez,"MAYOR, CITY OF AUSTIN",81
309,Steve Adler,"MAYOR, CITY OF AUSTIN",205
310,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",137
310,Hillary Procknow,"AT LARGE POSITION 9, AISD",100
310,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",107
310,Kate Mason-Murphy,"DISTRICT 6, SINGLE MEMBER TRUSTEE, AISD",140
310,Kendall Pace,"AT LARGE POSITION 9, AISD",144
310,Mike Martinez,"MAYOR, CITY OF AUSTIN",79
310,Paul Salda�a,"DISTRICT 6, SINGLE MEMBER TRUSTEE, AISD",120
310,Steve Adler,"MAYOR, CITY OF AUSTIN",170
311,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",76
311,Hillary Procknow,"AT LARGE POSITION 9, AISD",47
311,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",70
311,Kendall Pace,"AT LARGE POSITION 9, AISD",94
311,Mike Martinez,"MAYOR, CITY OF AUSTIN",95
311,Steve Adler,"MAYOR, CITY OF AUSTIN",139
312,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
312,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
